id,dataset,category,code,question,answer,prediction,accuracy,completeness,clarity,relevance
q1,codeqa,What,def drop protected attrs model class values for attr in model class protected attributes if attr in values del values[attr],What did the code remove from values dictionary using the models _ _ protected_attributes _ _ field ?,protected attributes,"def drop_protected_attributes(model, values, attr):
    return {key: value for key, value in values.items() if key!= attr}",1,2,5,3
q2,codeqa,What,def get Ordered Surrounding Loops perimeter Width surrounding Loops insides []ordered Surrounding Loops []for loop Index in xrange len surrounding Loops surrounding Loop surrounding Loops[loop Index]other Loops []for before Index in xrange loop Index other Loops append surrounding Loops[before Index] boundary for after Index in xrange loop Index + 1 len surrounding Loops other Loops append surrounding Loops[after Index] boundary if is Path Entirely Inside Loops other Loops surrounding Loop boundary insides append surrounding Loop else ordered Surrounding Loops append surrounding Loop for outside in ordered Surrounding Loops outside get From Inside Surroundings insides perimeter Width return ordered Surrounding Loops,What did the code order from surrounding loops ?,surrounding loops,"def get_ordered_surrounding_loops_perimeter_width(surrounding_loops, boundary, before, after, other_loops, outside, is_path_entirely_inside, path_in_inside, perimeter_width) : return surrounding_loops + before + other_loops + after + outside",1,1,1,1
q3,codeqa,What,def set coordinator properties coordinator root namespace coordinator name root get 'name' coordinator timezone root get 'timezone' coordinator start oozie to django datetime root get 'start' coordinator end oozie to django datetime root get 'end' coordinator frequency unit coordinator frequency number oozie to hue frequency root get 'frequency',What does the code get from coordinator xml set properties on coordinator with attributes from xml etree root ?,coordinator properties,"def get_properties ( self, xml_string ) : return xml.etree.ElementTree. parse ( xml_string ). getroot ( ). attrib",5,5,5,5
q4,codeqa,What,def get node attributes G name return {n d[name] for n d in G node items if name in d },What does the code get from graph parameters g : networkx graph name : string attribute name returns dictionary of attributes keyed by node ?,node attributes,"def get_node_attributes(G, name) : return {n d[name] for n d in G.nodes() if name in d}",5,5,5,5
q5,codeqa,What,def Validate Domain url domain name url split '/' if 'http ' in domain name or 'https ' in domain name domain name domain name[ 2 ]else domain name domain name[ 0 ]www domain name domain name split ' ' final domain ''if www domain name[ 0 ] 'www' final domain ' ' join www domain name[ 1 ] else final domain domain namereturn final domain domain name,What does this function return removing http:// and https:// returns domain name only with or without www as user provided ?,domain name,def ValidateDomain(url) : return url.split('www')[0],2,2,3,3
q6,codeqa,What,def apply provider facts facts provider facts if not provider facts return factscommon vars [ 'hostname' 'ip' 'public hostname' 'public ip' ]for h var ip var in common vars ip value provider facts['network'] get ip var if ip value facts['common'][ip var] ip valuefacts['common'][h var] choose hostname [provider facts['network'] get h var ] facts['common'][h var] facts['provider'] provider factsreturn facts,What does the code apply to supplied facts dict args : facts : facts dict to update provider_facts : provider facts to apply roles : host roles returns : dict : the merged facts ?,provider facts,"def apply_provider_facts(facts, provider_facts, to, roles):
    return {k: v for k, v in facts.items() if k in to and v in facts[to][k] and k in roles}",1,2,5,3
q7,codeqa,What,def Make Suite From Dict d label None suite Suite label label suite Set Dict d suite Normalize return suite,What does the code make ?,a suite,"def MakeSuiteFromDict(d, label=None, suite=None, label2suite=None, SetDict=d, suiteNormalize=None) : return SetDict(d, suite, label, label2suite, SetDict, suiteNormalize)",1,1,1,1
q8,codeqa,What,def set stubs stubs stubs Set vmops V Mware VM Ops 'plug vifs' fake fake plug vifs stubs Set network util 'get network with the name' fake fake get network stubs Set vmware images 'fetch image' fake fake fetch image stubs Set vmware images 'get vmdk size and properties' fake fake get vmdk size and properties stubs Set vmware images 'upload image' fake fake upload image stubs Set driver V Mware API Session ' get vim object' fake get vim object stubs Set driver V Mware API Session ' is vim object' fake is vim object,What did the code set ?,the stubs,set stubs stubs stubs Set vmops V Mware VM Ops 'plug vifs' fake fake plug vifs stubs Set network util 'get network with the name' fake fake get network stubs Set vmware images 'fetch image' fake fake fetch image stubs Set vmware images 'get vmdk size and properties' fake fake get vmdk size and properties stubs Set vmware images 'upload image' fake fake upload image stubs Set driver V Mware API Session'get vim object' fake get vim object stubs Set driver V Mware API Session'is vim object' fake is vim,1,1,1,1
q9,codeqa,What,def set enrollment attributes user id course id attributes data api add or update enrollment attr user id course id attributes,What did the code set for the enrollment of given user in the course provided ?,enrollment attributes,"def set_enrollment ( self, user_id, course_id, attributes ) : 
    self. _enrollment [ user_id ] = attributes",5,5,5,5
q10,codeqa,What,def get error message error try return error args[ 0 ]except Index Error return '',What does the code retrieve from error ?,error message,"def get_error_message ( self ) : return error_args[ 0 ]
Question: What does the code return?
Answer: error",1,2,5,3
